Country Name,year,GDP,population
Aruba,1960,1916241996.60264,54211.0
Afghanistan,1960,537777811.111111,8996351.0
Angola,1960,18573188486.9526,5643182.0
Albania,1960,18573188486.9526,1608800.0
Andorra,1960,18573188486.9526,13411.0
Arab World,1960,18573188486.9526,92490932.0
United Arab Emirates,1960,18573188486.9526,92634.0
Argentina,1960,18573188486.9526,20619075.0
Armenia,1960,18573188486.9526,1874120.0
American Samoa,1960,18573188486.9526,20013.0
Antigua and Barbuda,1960,18573188486.9526,55339.0
Australia,1960,18573188486.9526,10276477.0
Austria,1960,6592693841.18495,7047539.0
Azerbaijan,1960,195999990.0,3895396.0
Burundi,1960,195999990.0,2786106.0
Belgium,1960,11658722590.99,9153489.0
Benin,1960,226195579.35701,2431622.0
Burkina Faso,1960,330442817.168859,4829288.0
Bangladesh,1960,4274893913.49536,48199747.0
Bulgaria,1960,169803921.568627,7867374.0
Bahrain,1960,169803921.568627,162427.0
"Bahamas, The",1960,169803921.568627,109528.0
Bosnia and Herzegovina,1960,28071888.5622288,3225668.0
Belarus,1960,28071888.5622288,8198000.0
Belize,1960,28071888.5622288,92064.0
Bermuda,1960,84466654.0801544,44400.0
Bolivia,1960,563110051.920733,3693449.0
Brazil,1960,226195579.35701,72207554.0
Barbados,1960,226195579.35701,230939.0
Brunei Darussalam,1960,226195579.35701,81745.0
Bhutan,1960,226195579.35701,223288.0
Botswana,1960,30412308.9864012,524552.0
Central African Republic,1960,112155598.949571,1503508.0
Canada,1960,41093453544.9096,17909009.0
Central Europe and the Baltics,1960,41093453544.9096,91401583.0
Switzerland,1960,9522746719.21614,5327827.0
Channel Islands,1960,4110000000.0,109420.0
Chile,1960,4110000000.0,7716625.0
China,1960,59716467625.3148,667070000.0
Cote d'Ivoire,1960,546203561.571989,3558988.0
Cameroon,1960,618740988.011405,5176268.0
"Congo, Dem. Rep.",1960,131731862.568975,15248251.0
"Congo, Rep.",1960,131731862.568975,1037220.0
Colombia,1960,4040948153.73022,16480383.0
Comoros,1960,507513829.994855,191121.0
Cabo Verde,1960,507513829.994855,202310.0
Costa Rica,1960,507513829.994855,1333040.0
Caribbean small states,1960,1904498765.33158,4198307.0
Cuba,1960,6248946880.2777,7141135.0
Curacao,1960,6248946880.2777,124826.0
Cayman Islands,1960,6248946880.2777,7865.0
Cyprus,1960,6248946880.2777,572930.0
Czech Republic,1960,6248946880.2777,9602006.0
Germany,1960,6248946880.2777,72814900.0
Djibouti,1960,6248946880.2777,83636.0
Dominica,1960,6248946880.2777,60011.0
Denmark,1960,6248946880.2777,4579603.0
Dominican Republic,1960,672399700.0,3294042.0
Algeria,1960,2723648551.75208,11124888.0
East Asia & Pacific (excluding high income),1960,80254551959.8112,893956327.0
Early-demographic dividend,1960,138564189854.332,979287407.0
East Asia & Pacific,1960,153255030645.675,1039944591.0
Europe & Central Asia (excluding high income),1960,431535497511.25,274947938.0
Europe & Central Asia,1960,431535497511.25,667246384.0
Ecuador,1960,1010325138.03016,4545550.0
"Egypt, Arab Rep.",1960,537777811.111111,26996533.0
Euro area,1960,245481170883.186,265396502.0
Eritrea,1960,12072126075.397,1397491.0
Spain,1960,12072126075.397,30455000.0
Estonia,1960,359029375700.713,1211537.0
Ethiopia,1960,359029375700.713,22151278.0
European Union,1960,359029375700.713,409498463.0
Fragile and conflict affected situations,1960,5224102195.52771,119967877.0
Finland,1960,5224102195.52771,4429634.0
Fiji,1960,112328422.113084,393386.0
France,1960,62651474946.6007,46814237.0
Faroe Islands,1960,141468977.569983,34661.0
"Micronesia, Fed. Sts.",1960,141468977.569983,44537.0
Gabon,1960,141468977.569983,499184.0
United Kingdom,1960,72328047042.1588,52400000.0
Georgia,1960,1217230038.26781,3645600.0
Ghana,1960,1217230038.26781,6652287.0
Gibraltar,1960,1320796651.69457,23394.0
Guinea,1960,1320796651.69457,3577409.0
"Gambia, The",1960,5670064168.21773,367928.0
Guinea-Bissau,1960,5670064168.21773,616409.0
Equatorial Guinea,1960,5670064168.21773,255323.0
Greece,1960,4446528164.67559,8331725.0
Grenada,1960,4446528164.67559,89869.0
Greenland,1960,5670064168.21773,32500.0
Guatemala,1960,1043599900.0,4210747.0
Guam,1960,1043599900.0,66742.0
Guyana,1960,170215248.206265,571819.0
High income,1960,1069453764348.03,780501923.0
"Hong Kong SAR, China",1960,1320796651.69457,3075605.0
Honduras,1960,335650000.0,2038637.0
Heavily indebted poor countries (HIPC),1960,14868500922.2593,162495580.0
Croatia,1960,141468977.569983,4140000.0
Haiti,1960,14868500922.2593,3866159.0
Hungary,1960,14868500922.2593,9983967.0
IBRD only,1960,35560103680.4725,1917374485.0
IDA & IBRD total,1960,35560103680.4725,2299864225.0
IDA total,1960,35560103680.4725,382489740.0
IDA blend,1960,12532037733.2468,123195063.0
Indonesia,1960,14868500922.2593,87792515.0
IDA only,1960,36535925031.34,259294677.0
Isle of Man,1960,36535925031.34,48442.0
India,1960,36535925031.34,449480608.0
Not classified,1960,1939329775.43739,2828600.0
Ireland,1960,1939329775.43739,2828600.0
"Iran, Islamic Rep.",1960,4199134390.12602,21906903.0
Iraq,1960,1684121534.58415,7289761.0
Iceland,1960,248434096.968726,175574.0
Israel,1960,2598500000.0,2114020.0
Italy,1960,40385288344.1911,50199700.0
Jamaica,1960,699050678.98642,1628252.0
Jordan,1960,44307342950.4,932257.0
Japan,1960,44307342950.4,92500572.0
Kazakhstan,1960,791265458.818076,9714260.0
Kenya,1960,791265458.818076,8105440.0
Kyrgyz Republic,1960,637142865.714286,2172300.0
Cambodia,1960,637142865.714286,5722370.0
Kiribati,1960,12366563.6119699,41233.0
St. Kitts and Nevis,1960,12366563.6119699,51195.0
"Korea, Rep.",1960,3957873925.93719,25012374.0
Kuwait,1960,190495600.0,269618.0
Latin America & Caribbean (excluding high income),1960,190495600.0,184536470.0
Lao PDR,1960,190495600.0,2120896.0
Lebanon,1960,190495600.0,1804926.0
Liberia,1960,190495600.0,1120313.0
Libya,1960,9522746719.21614,1448417.0
St. Lucia,1960,18573188486.9526,89897.0
Latin America & Caribbean,1960,9522746719.21614,220434662.0
Least developed countries: UN classification,1960,26427001496.2575,240742196.0
Low income,1960,1409873949.57983,166502848.0
Liechtenstein,1960,1409873949.57983,16495.0
Sri Lanka,1960,1409873949.57983,9874481.0
Lower middle income,1960,299583264027.297,934586665.0
Low & middle income,1960,299583264027.297,2251658472.0
Lesotho,1960,34579308.4138317,851591.0
Late-demographic dividend,1960,703925705.942958,1097220852.0
Lithuania,1960,703925705.942958,2778550.0
Luxembourg,1960,703925705.942958,313970.0
Latvia,1960,2037150716.33238,2120979.0
"Macao SAR, China",1960,2037150716.33238,167796.0
St. Martin (French part),1960,2037150716.33238,4279.0
Morocco,1960,2037150716.33238,12328532.0
Monaco,1960,673081724.076322,22452.0
Moldova,1960,673081724.076322,2544000.0
Madagascar,1960,673081724.076322,5099373.0
Maldives,1960,13040000000.0,89887.0
Middle East & North Africa,1960,13040000000.0,105488678.0
Mexico,1960,13040000000.0,38174112.0
Marshall Islands,1960,287119002860.194,14662.0
Middle income,1960,287119002860.194,2085155624.0
"Macedonia, FYR",1960,92609222.6913744,1488667.0
Mali,1960,92609222.6913744,5263733.0
Malta,1960,92609222.6913744,326550.0
Myanmar,1960,92609222.6913744,20986123.0
Middle East & North Africa (excluding high income),1960,92609222.6913744,97837766.0
Montenegro,1960,92609222.6913744,480579.0
Mongolia,1960,92609222.6913744,955505.0
Northern Mariana Islands,1960,92609222.6913744,10035.0
Mozambique,1960,1409873949.57983,7388695.0
Mauritania,1960,92609222.6913744,858168.0
Mauritius,1960,1409873949.57983,659351.0
Malawi,1960,162956740.865183,3618595.0
Malaysia,1960,1916241996.60264,8157106.0
North America,1960,584477920198.99,198624409.0
Namibia,1960,449526872.565561,602544.0
New Caledonia,1960,449526872.565561,79000.0
Niger,1960,449526872.565561,3388764.0
Nigeria,1960,4196092258.15484,45137812.0
Nicaragua,1960,12276734172.0828,1774699.0
Netherlands,1960,12276734172.0828,11486631.0
Norway,1960,5163271598.15702,3581239.0
Nepal,1960,508334413.965087,10063011.0
Nauru,1960,5485854791.97096,4433.0
New Zealand,1960,5485854791.97096,2371800.0
OECD members,1960,1072374260795.94,788709114.0
Oman,1960,3707055900.88198,551740.0
Other small states,1960,3707055900.88198,9196324.0
Pakistan,1960,3707055900.88198,44908293.0
Panama,1960,537147100.0,1132921.0
Peru,1960,2571908062.07692,10061515.0
Philippines,1960,6684568805.06881,26273025.0
Palau,1960,230496032.981216,9642.0
Papua New Guinea,1960,230496032.981216,2010677.0
Poland,1960,8428017766.52866,29637450.0
Pre-demographic dividend,1960,8428017766.52866,188636191.0
Puerto Rico,1960,1691900000.0,2358000.0
"Korea, Dem. People’s Rep.",1960,3193200404.37297,11424176.0
Portugal,1960,3193200404.37297,8857716.0
Paraguay,1960,162956740.865183,1902875.0
West Bank and Gaza,1960,162956740.865183,865809.0
Pacific island small states,1960,162956740.865183,865809.0
Post-demographic dividend,1960,1042816199059.17,754705296.0
French Polynesia,1960,9522746719.21614,78076.0
Qatar,1960,46535881332.4735,47384.0
Romania,1960,46535881332.4735,18406905.0
Russian Federation,1960,46535881332.4735,119897000.0
Rwanda,1960,119000024.0,2933428.0
South Asia,1960,46535881332.4734,571835666.0
Saudi Arabia,1960,1307333333.33333,4086539.0
Sudan,1960,1307333333.33333,7544491.0
Senegal,1960,792824707.345294,3206749.0
Singapore,1960,704462302.365086,1646400.0
Solomon Islands,1960,322009471.56704,117866.0
Sierra Leone,1960,322009471.56704,2297110.0
El Salvador,1960,26415627033.0659,2762899.0
San Marino,1960,26415627033.0659,15397.0
Somalia,1960,26415627033.0659,2755947.0
Serbia,1960,26415627033.0659,228544305.0
Sub-Saharan Africa (excluding high income),1960,26415627033.0659,228544305.0
South Sudan,1960,26427001496.2575,2955152.0
Sub-Saharan Africa,1960,26427001496.2575,228586005.0
Small states,1960,9522746719.21614,14260440.0
Sao Tome and Principe,1960,93850000.0,64253.0
Suriname,1960,93850000.0,289966.0
Slovak Republic,1960,14842870293.4207,4068095.0
Slovenia,1960,14842870293.4207,1584720.0
Sweden,1960,14842870293.4207,7484656.0
Swaziland,1960,35076158.4768305,349174.0
Sint Maarten (Dutch part),1960,12012025.2477155,41700.0
Seychelles,1960,12012025.2477155,41700.0
Syrian Arab Republic,1960,857704431.686497,4573512.0
